timestamp,test_name,passed,message
20250429_142500,Actor update basic run,True,Function executed without errors
20250429_142500,Optimizer state updated,True,Expected optimizer state to be updated
20250429_142500,Actor parameters updated,True,Expected parameters to change
20250429_142500,Actor loss is scalar,True,"Expected scalar loss, got shape ()"
20250429_142500,Log probabilities shape matches batch,True,"Expected shape (4,), got (4,)"
20250429_142500,Action standard deviations valid,True,"Expected action_std to be in (0, 1], got range: 0.5057592391967773 to 0.5217016339302063"
20250429_142500,Gradient clipping affects loss,True,"Expected different losses, got: low_clip=-0.4547981023788452, high_clip=-0.45480120182037354"
20250429_142500,Losses vary with different clip norms,True,"Expected variation in losses, got std=9.360858149610542e-06"
20250429_142500,Temperature affects loss,True,Expected different losses for different temperatures
20250429_142500,Higher temperature decreases log probabilities,True,"Expected log probs to decrease with higher temperature: first=-1.2977492809295654, last=-1.312976598739624"
20250429_142500,Higher Q-values decrease actor loss,True,"Expected loss to decrease with higher Q-values: first=-0.36259299516677856, last=-100.26258850097656"
